Monday 09 December 2019 17:29,1420.7.1560,release/1420 (commit hash : 0xE4D4BBB3)
Binding,ImageBlocks-dialogs,ImageBlocks-schemas,Master-schemas,Gui-dialogs,TrueTouch,PrintServer,ImageBlocks-unittest
CreateCab,0,0,0,0,0,1,0
CreateGlobalsCheck,0,0,0,0,1,0,0
CreateLabelFile,0,0,0,0,0,1,0
CreatePrintServerClient,0,0,0,0,1,0,0
CreateStateMachine,0,0,0,0,1,0,0
CreateSubscribableData,0,0,0,0,1,0,0
CreateTracing,0,0,0,0,0,1,0
CreateTrueTouchServer,0,0,0,0,1,0,0
DC.New,0,0,0,0,1,0,0
Dio.GetInputs,0,0,0,0,1,0,0
Dio.GetVoltages,0,0,0,0,1,0,0
Dio.SetOutputs,0,0,0,0,1,0,0
Drivers.Bixolon.Create,0,0,0,0,0,1,0
Drivers.Cab.Create,0,0,0,0,0,1,0
EAlg.CircularHoughTransform,1,1,1,1,0,0,1
EAlg.HoughTransform,1,1,1,1,0,0,1
EAlg.HoughTransform32,1,1,1,1,0,0,1
EAlg.MaxImagePoint,1,1,1,1,0,0,1
EAlg.MinImagePoint,1,1,1,1,0,0,1
EAlg.PointChainEnclosingCircle,1,1,1,0,0,0,1
EAlg.PointChainInOutRegion,1,1,1,1,0,0,1
EAlg.RegionThinning,1,1,1,0,0,0,1
EAlg.SkeletonDecomposition,1,1,1,0,0,0,1
EAlg.SkeletonFindEndPoints,1,1,1,0,0,0,1
EAlg.SkeletonFindJunctionPoints,1,1,1,0,0,0,1
EAlg.SplitTracer,1,1,1,1,0,0,1
EAnySerializer.FromAnyContentString,1,1,1,1,1,0,1
EAnySerializer.FromString,1,1,1,1,1,0,1
EAnySerializer.FromStringOld,1,1,1,1,1,0,1
EAnySerializer.ToAnyContentString,1,1,1,1,1,0,1
EAnySerializer.ToString,1,1,1,1,1,0,1
EAnySerializer.ToStringOld,1,1,1,1,1,0,1
ECompression.CompressZlib,1,1,0,1,0,0,1
ECompression.UncompressZlib,1,1,0,1,0,0,1
EDEVICE_ID.ConstCast,0,0,1,0,0,0,0
EDEVICE_ID.IsValid,0,0,1,0,0,0,0
EDEVICE_ID.New,0,0,1,0,0,0,0
EDataCrypt.CRC32,1,1,1,1,0,0,1
EDataCrypt.Decrypt,1,1,1,1,0,0,1
EDataCrypt.Encrypt,1,1,1,1,0,0,1
EFile.Dir,0,0,0,0,1,0,0
EFile.Flush,0,0,0,0,1,0,0
EFile.Read,0,0,0,0,1,0,0
EFile.Write,0,0,0,0,1,0,0
EFileWriter.Write,0,0,1,0,0,0,0
ELuaBindings.Checksum,1,1,1,1,1,1,1
ELuaBindings.ContextDump,1,1,1,1,1,1,1
ELuaBindings.CreateNewSharedImageView,1,1,1,1,0,0,1
ELuaBindings.DeclareFields,1,1,1,1,1,0,1
ELuaBindings.GetDeclaredFields,1,1,1,1,1,0,1
ELuaBindings.GetLuaBindings,1,1,1,1,1,1,1
ELuaBindings.OpenTable,1,1,1,1,1,0,1
ELuaBindings.ProtectTable,1,1,1,1,1,0,1
ELuaBindings.Release,1,1,1,1,1,1,1
ELuaBindings.ResetProfileData,1,1,1,1,1,1,1
ELuaBindings.RetrieveProfileData,1,1,1,1,1,1,1
ELuaBindings.Type,1,1,1,1,1,1,1
ELuaBindings.UnprotectTable,1,1,1,1,1,0,1
ELuaBindings.VarDump,1,1,1,1,1,1,1
EMotionEstimation.CalculateBlockDifferenceImage,1,1,0,0,0,0,1
ETcpSocket.New,1,0,0,1,1,1,1
ETimer.GetTick,1,0,0,1,1,1,1
ETimer.GetTimeStampNanoSeconds,1,0,0,1,1,1,1
ETimer.New,1,0,0,1,1,1,1
EUart.New,0,0,0,0,1,0,0
